loan_status,fico_range_low,fico_range_high,int_rate,dti,term,verification_status,grade,sub_grade,issue_d,annual_inc,purpose,default_flag,fico_mid,fico_bucket,int_rate_clean,int_rate_bucket,dti_bucket,term_numeric,issue_year
Fully Paid,675,679,1399.00%,5.91,36 months,Not Verified,C,C4,Dec-2015,55000,debt_consolidation,0,677,650-699,0.1399,10-15%,0-20%,36,2015
Fully Paid,715,719,1199.00%,16.06,36 months,Not Verified,C,C1,Dec-2015,65000,small_business,0,717,700-749,0.1199,10-15%,0-20%,36,2015
Fully Paid,695,699,1078.00%,10.78,60 months,Not Verified,B,B4,Dec-2015,63000,home_improvement,0,697,650-699,0.1078,10-15%,0-20%,60,2015
Current,785,789,1485.00%,17.06,60 months,Source Verified,C,C5,Dec-2015,110000,debt_consolidation,0,787,750+,0.1485,10-15%,0-20%,60,2015
Fully Paid,695,699,2245.00%,25.37,60 months,Source Verified,F,F1,Dec-2015,104433,major_purchase,0,697,650-699,0.2245,20%+,20-35%,60,2015
Fully Paid,690,694,1344.00%,10.2,36 months,Source Verified,C,C3,Dec-2015,34000,debt_consolidation,0,692,650-699,0.1344,10-15%,0-20%,36,2015
Fully Paid,680,684,917.00%,14.67,36 months,Not Verified,B,B2,Dec-2015,180000,debt_consolidation,0,682,650-699,0.0917,<10%,0-20%,36,2015
Fully Paid,705,709,849.00%,17.61,36 months,Not Verified,B,B1,Dec-2015,85000,major_purchase,0,707,700-749,0.0849,<10%,0-20%,36,2015
Fully Paid,685,689,649.00%,13.07,36 months,Not Verified,A,A2,Dec-2015,85000,credit_card,0,687,650-699,0.0649,<10%,0-20%,36,2015
Fully Paid,700,704,1148.00%,34.8,36 months,Not Verified,B,B5,Dec-2015,42000,credit_card,0,702,700-749,0.1148,10-15%,20-35%,36,2015
Current,710,714,1288.00%,22.98,60 months,Not Verified,C,C2,Dec-2015,95000,debt_consolidation,0,712,700-749,0.1288,10-15%,20-35%,60,2015
Current,720,724,1288.00%,26.4,60 months,Not Verified,C,C2,Dec-2015,70000,debt_consolidation,0,722,700-749,0.1288,10-15%,20-35%,60,2015
Fully Paid,700,704,1288.00%,34.95,36 months,Not Verified,C,C2,Dec-2015,64000,other,0,702,700-749,0.1288,10-15%,20-35%,36,2015
Charged Off,665,669,1948.00%,9.39,60 months,Not Verified,E,E2,Dec-2015,150000,debt_consolidation,1,667,650-699,0.1948,15-20%,0-20%,60,2015
Fully Paid,720,724,649.00%,21.6,36 months,Not Verified,A,A2,Dec-2015,92000,debt_consolidation,0,722,700-749,0.0649,<10%,20-35%,36,2015
Fully Paid,695,699,749.00%,22.44,36 months,Not Verified,A,A4,Dec-2015,60000,credit_card,0,697,650-699,0.0749,<10%,20-35%,36,2015
Fully Paid,745,749,749.00%,26.02,36 months,Not Verified,A,A4,Dec-2015,109000,debt_consolidation,0,747,700-749,0.0749,<10%,20-35%,36,2015
Fully Paid,800,804,1199.00%,8.68,60 months,Not Verified,C,C1,Dec-2015,112000,debt_consolidation,0,802,750+,0.1199,10-15%,0-20%,60,2015
Current,700,704,849.00%,18.28,60 months,Not Verified,B,B1,Dec-2015,64000,credit_card,0,702,700-749,0.0849,<10%,0-20%,60,2015
Fully Paid,675,679,1989.00%,25.49,36 months,Verified,E,E3,Dec-2015,55000,debt_consolidation,0,677,650-699,0.1989,15-20%,20-35%,36,2015
