fico_bucket,COUNT of default_flag,SUM of default_flag,Default Rate by FICO,,
650-699,3601,746,20.72%,,
700-749,1927,256,13.28%,,
750+,471,31,6.58%,,
Grand Total,5999,1033,17.22%,,
,,,,,
,,,,,
,,,,,
int_rate_bucket,COUNT of default_flag,SUM of default_flag,Default Rate,,
<10%,2212,172,7.78%,,
10-15%,2400,408,17.00%,,
15-20%,1108,330,29.78%,,
20%+,279,123,44.09%,,
,,,#DIV/0!,,
,,,,,
,,,,,
dti_bucket,COUNT of default_flag,SUM of default_flag,Default Rate,,
0-20%,3302,455,13.78%,,
20-35%,2452,512,20.88%,,
35-45%,240,65,27.08%,,
45%+,5,1,20.00%,,
Grand Total,5999,1033,17.22%,,
,,,,,
,,,,,
term,COUNT of default_flag,SUM of default_flag,Default Rate,,
36 months,4240,586,13.82%,,
60 months,1759,447,25.41%,,
Grand Total,5999,1033,17.22%,,
,,,,,
,,,,,
verification_status,COUNT of default_flag,SUM of default_flag,Default Rate,,
Not Verified,2346,336,14.32%,,
Source Verified,1991,337,16.93%,,
Verified,1662,360,21.66%,,
,,,#DIV/0!,,
,,,,,
,,,,,
COUNT of default_flag,SUM of default_flag,AVERAGE of fico_mid,AVERAGE of int_rate_clean,,
5999,1033,698.3228038,0.1231500083,,
,,,,,
fico_bucket,SUM of default_flag,COUNT of default_flag,,,
650-699,746,3601,,,
700-749,256,1927,,,
750+,31,471,,,
Grand Total,1033,5999,,,
,,,,,
Slicers Could be Applied for Below,,,,,
,,,,,
,term_numeric,Values,,,
,36,,60,,
fico_bucket,SUM of default_flag,COUNT of default_flag,SUM of default_flag,COUNT of default_flag,Default Rate
650-699,436,2551,310,1050,0.2071646765
700-749,130,1316,126,611,0.1328489881
750+,20,373,11,98,0.06581740977
Grand Total,586,4240,447,1759,0.1721953659
,,,,,
,,,,,
,,,,,
int_rate_bucket,COUNT of default_flag,AVERAGE of default_flag,AVERAGE of fico_mid,AVERAGE of dti,AVERAGE of default_flag
<10%,2212,0.07775768535,71411.82%,17.08584087,0.07775768535
10-15%,2400,0.17,69128.33%,19.60809583,0.17
15-20%,1108,0.297833935,68573.65%,22.12519856,0.297833935
20%+,279,0.4408602151,68363.08%,2311.02%,0.4408602151
,,,,,
fico_bucket,COUNTA of dti_bucket,AVERAGE of default_flag,AVERAGE of term_numeric,SUM of fico_mid,
650-699,3601,0.2071646765,42.9980561,2440492,
700-749,1927,0.1328489881,43.6097561,1384074,
750+,471,0.06581740977,40.99363057,364672.5,
Grand Total,5999,0.1721953659,43.03717286,4189238.5,
,,,,,
,,,,,
,,,,,
,,,,,
fico_bucket,COUNT of default_flag,AVERAGE of term_numeric,,,
650-699,3601,42.9980561,,,
700-749,1927,43.6097561,,,
750+,471,40.99363057,,,
